timestamp,ID,yaw,heading,state,acceleration
2025-03-14 11:57:20.731727,98,140,303,DRIVING,9.24
2025-03-14 11:57:21.141705,98,144,282,DRIVING,9.27
2025-03-14 11:57:21.568005,98,141,270,DRIVING,10.34
2025-03-14 11:57:21.987091,98,131,162,DRIVING,7.91
2025-03-14 11:57:22.394574,98,113,144,DRIVING,11.05
2025-03-14 11:57:22.813213,98,94,131,DRIVING,9.79
2025-03-14 11:57:23.246059,98,77,103,DRIVING,10.1
2025-03-14 11:57:24.323798,98,63,56,DRIVING,9.42
2025-03-14 11:57:24.326731,98,50,348,DRIVING,10.04
2025-03-14 11:57:24.481154,98,43,63,DRIVING,9.5
2025-03-14 11:57:24.904037,98,41,63,DRIVING,9.65
2025-03-14 11:57:25.328093,98,42,50,STANDING,9.63
2025-03-14 11:57:25.735888,98,41,354,DRIVING,9.47
2025-03-14 11:57:26.145425,98,39,355,DRIVING,9.5
2025-03-14 11:57:26.566693,98,32,78,DRIVING,9.9
2025-03-14 11:57:26.980260,98,25,85,DRIVING,9.92
2025-03-14 11:57:27.407725,98,17,57,DRIVING,9.77
2025-03-14 11:57:27.815601,98,8,25,DRIVING,9.73
2025-03-14 11:57:28.230512,98,359,81,DRIVING,9.66
2025-03-14 11:57:28.647666,98,355,327,DRIVING,9.89
2025-03-14 11:57:29.065031,98,358,327,DRIVING,9.58
2025-03-14 11:57:29.546483,98,360,40,DRIVING,9.64
2025-03-14 11:57:29.912616,98,359,356,DRIVING,9.58
2025-03-14 11:57:30.330082,98,358,49,DRIVING,9.38
2025-03-14 11:57:30.747813,98,355,0,DRIVING,9.67
2025-03-14 11:57:31.147529,98,350,26,DRIVING,9.76
2025-03-14 11:57:31.582459,98,345,22,DRIVING,9.5
2025-03-14 11:57:32.001831,98,338,334,DRIVING,9.53
2025-03-14 11:57:32.438105,98,326,329,DRIVING,9.59
2025-03-14 11:57:32.817556,98,314,317,DRIVING,9.69
2025-03-14 11:57:33.235128,98,303,312,DRIVING,9.85
2025-03-14 11:57:33.651100,98,292,307,DRIVING,9.95
2025-03-14 11:57:34.074097,98,280,290,DRIVING,10.2
2025-03-14 11:57:34.484037,98,270,293,DRIVING,9.72
2025-03-14 11:57:34.906721,98,264,265,DRIVING,9.9
2025-03-14 11:57:35.317560,98,263,271,DRIVING,9.49
2025-03-14 11:57:35.734984,98,267,106,DRIVING,10.11
2025-03-14 11:57:36.155911,98,275,131,DRIVING,8.17
2025-03-14 11:57:36.568482,98,285,87,DRIVING,9.07
2025-03-14 11:57:36.996656,98,297,95,DRIVING,10.08
